Species,longitude,latitude
Helianthus angustifolius,-77,34.92
Helianthus angustifolius,-87.37,30.57
Helianthus angustifolius,-81.96,30.79
Helianthus angustifolius,-90.09,36.8
Helianthus angustifolius,-90.53,36.92
Helianthus angustifolius,-81.92,27.5
Helianthus angustifolius,-93.21,31
Helianthus angustifolius,-75.06,38.54
Helianthus angustifolius,-85.47,33.3
Helianthus angustifolius,-87.34,33.7
Helianthus angustifolius,-85.47,33.3
Helianthus angustifolius,-75.43,38.36
Helianthus angustifolius,-89.97,30.5
Helianthus angustifolius,-95.33,35.06
Helianthus angustifolius,-95.99,30.59
Helianthus angustifolius,-94.42,30.69
Helianthus angustifolius,-92.72,32.53
Helianthus angustifolius,-92.75,32.52
Helianthus angustifolius,-94.4,30.58
Helianthus angustifolius,-89.86,30.58
Helianthus angustifolius,-92.77,32.48
Helianthus angustifolius,-87.5,33.3
Helianthus angustifolius,-93.02,32.53
Helianthus angustifolius,-95.32,34.64
Helianthus angustifolius,-93.02,32.53
Helianthus angustifolius,-92.75,32.52
Helianthus angustifolius,-89.75,30.78
Helianthus angustifolius,-74.74,39.72
Helianthus angustifolius,-92.23,32.47
Helianthus angustifolius,-92.65,32.47
Helianthus angustifolius,-94.6,35.45
Helianthus angustifolius,-78.51,38.88
Helianthus angustifolius,-94.6,35.45
Helianthus angustifolius,-90.67,35.84
Helianthus angustifolius,-87.86,32.64
Helianthus angustifolius,-87.61,32.69
Helianthus angustifolius,-90.92,34.37
Helianthus angustifolius,-89.53,34.36
Helianthus angustifolius,-95.87,30.59
Helianthus angustifolius,-88.1,30.25
Helianthus angustifolius,-95.7,30.03
Helianthus angustifolius,-87.54,33.21
Helianthus angustifolius,-94.57,33.72
Helianthus angustifolius,-94.81,34.34
Helianthus angustifolius,-94.43,31.08
Helianthus angustifolius,-94.1,29.93
Helianthus angustifolius,-95.26,29.57
Helianthus angustifolius,-94.1,29.93
Helianthus angustifolius,-77.06,38.86
Helianthus angustifolius,-96.28,29.89
Helianthus angustifolius,-96.28,29.89
